date,open,low,high,volume,close,Name,Date,Positve,Negative,Neutral,Total,NeutralPos,NeutralNeg
11/15/2017,48.88,48.73,49.075,9352084,48.82,ORCL,11/15/2017,31.14754098,9.836065574,59.01639344,61,31.14754098,10.27624038
11/16/2017,49.11,49.01,49.62,11597324,49.2,ORCL,11/16/2017,36.25,17.5,46.25,80,36.25,30.70656825
11/17/2017,49,48.85,49.23,9965493,48.94,ORCL,11/17/2017,26.92307692,3.846153846,69.23076923,52,36.6972779,3.846153846
11/20/2017,49.04,48.92,49.16,11327720,49.02,ORCL,11/20/2017,32.89473684,13.15789474,53.94736842,76,32.89473684,18.66709457
11/21/2017,49,48.5,49.1,18024131,48.63,ORCL,11/21/2017,36.36363636,7.954545455,55.68181818,88,36.36363636,11.72929553
11/22/2017,48.56,48.42,48.83,10618868,48.58,ORCL,11/22/2017,21.21212121,4.545454545,74.24242424,66,35.9979772,4.545454545
11/24/2017,48.88,48.69,49.13,6008333,49.01,ORCL,11/24/2017,26.98412698,1.587301587,71.42857143,63,38.95613016,1.587301587
11/27/2017,48.94,48.75,49.22,13190813,48.88,ORCL,11/27/2017,20.3125,20.3125,59.375,64,20.3125,20.39406825
11/28/2017,48.88,48.85,49.2,13841780,49.01,ORCL,11/28/2017,32.8358209,5.970149254,61.19402985,67,34.5732825,5.970149254
11/29/2017,48.85,48.2,48.86,12953601,48.52,ORCL,11/29/2017,46.72897196,13.08411215,40.18691589,107,46.72897196,32.35376451
11/30/2017,48.89,48.89,49.33,24084949,49.06,ORCL,11/30/2017,23.52941176,7.352941176,69.11764706,68,33.19049057,7.352941176
12/1/2017,49.05,48.9,50,15742077,49.61,ORCL,12/1/2017,20.58823529,14.70588235,64.70588235,68,25.83754939,14.70588235
12/4/2017,49.82,48.36,49.82,13352194,48.4,ORCL,12/4/2017,34.14634146,6.097560976,59.75609756,82,34.44587077,6.097560976
12/5/2017,48.21,47.965,48.65,17742443,47.99,ORCL,12/5/2017,25.3968254,9.523809524,65.07936508,63,31.01962223,9.523809524
12/6/2017,47.88,47.63,48.585,12937589,48.42,ORCL,12/6/2017,18.26923077,10.57692308,71.15384615,104,29.96650867,10.57692308
12/7/2017,48.37,48.3,48.81,13410242,48.52,ORCL,12/7/2017,23.86363636,5.681818182,70.45454545,88,34.86161356,5.681818182
12/8/2017,48.9,48.7,49.69,14404743,49.6,ORCL,12/8/2017,23.27586207,4.310344828,72.4137931,116,36.23308692,4.310344828
12/11/2017,49.61,49.56,50.5,15099522,50.47,ORCL,12/11/2017,23.35329341,8.982035928,67.66467066,167,31.56139582,8.982035928
12/12/2017,50,49.95,50.71,17368425,50.39,ORCL,12/12/2017,33.63636364,4.545454545,61.81818182,110,35.99797721,4.545454545
12/13/2017,50.33,50.01,50.51,16178966,50.05,ORCL,12/13/2017,30.92783505,9.278350515,59.79381443,97,31.26508123,9.278350515
12/14/2017,50.2,49.94,50.4,20634580,50.19,ORCL,12/14/2017,35.15789474,9.894736842,54.94736842,475,35.15789474,14.40393667
12/15/2017,48.345,47,48.48,74685840,48.3,ORCL,12/15/2017,37.1559633,8.562691131,54.28134557,654,37.1559633,13.73791381
12/18/2017,48.53,47.68,48.85,24690916,47.71,ORCL,12/18/2017,21.77777778,7.111111111,71.11111111,225,33.43232064,7.111111111
12/19/2017,47.985,47.74,48.35,28137680,47.82,ORCL,12/19/2017,24.75247525,15.84158416,59.40594059,101,24.75247525,15.89221182
12/20/2017,47.98,47.79,48.05,11308080,47.9,ORCL,12/20/2017,21.68674699,9.638554217,68.6746988,83,30.90487754,9.638554217
12/21/2017,48.08,47.23,48.11,17680580,47.28,ORCL,12/21/2017,17.97752809,6.741573034,75.28089888,89,33.80185872,6.741573034
12/22/2017,47.23,47.095,47.4,11132353,47.36,ORCL,12/22/2017,20,13.84615385,66.15384615,65,26.6972779,13.84615385
12/26/2017,47.37,47.25,47.58,7519415,47.43,ORCL,12/26/2017,16,14,70,50,26.54343175,14
12/27/2017,47.25,47.15,47.47,8021017,47.38,ORCL,12/27/2017,18.57142857,10,71.42857143,70,30.54343175,10
12/28/2017,47.3,47.3,47.55,7755174,47.52,ORCL,12/28/2017,15.78947368,3.50877193,80.70175439,57,37.03465982,3.50877193
12/29/2017,47.53,47.28,47.88,9680925,47.28,ORCL,12/29/2017,21.12676056,2.816901408,76.05633803,71,37.72653034,2.816901408
1/2/2018,47.57,46.17,47.8011,25309088,46.63,ORCL,1/2/2018,19.73684211,9.868421053,70.39473684,152,30.6750107,9.868421053
1/3/2018,47.53,47.44,48.07,23897290,47.71,ORCL,1/3/2018,37.76223776,6.293706294,55.94405594,143,37.76223776,9.806218604
1/4/2018,47.99,47.715,48.19,19716758,48.18,ORCL,1/4/2018,23.28767123,10.95890411,65.75342466,73,29.58452764,10.95890411
1/5/2018,48.42,48.28,48.63,14348241,48.47,ORCL,1/5/2018,33.01886792,6.603773585,60.37735849,106,33.93965816,6.603773585
1/8/2018,48.3,47.94,49.07,14758381,48.98,ORCL,1/8/2018,31.34328358,8.955223881,59.70149254,67,31.58820787,8.955223881
1/9/2018,49.25,48.92,49.36,14128908,49.06,ORCL,1/9/2018,25,10.52631579,64.47368421,76,30.01711596,10.52631579
1/10/2018,48.86,48.58,49.27,13328212,48.8,ORCL,1/10/2018,23.52941176,8.823529412,67.64705882,68,31.71990233,8.823529412
1/11/2018,48.87,48.44,49.02,11666762,48.95,ORCL,1/11/2018,28.57142857,7.142857143,64.28571429,56,33.40057461,7.142857143
