date,open,low,high,volume,close,Name 
6/18/2014,182.04,181.79,183.61,3931800,183.6,IBM
6/19/2014,184.12,182.356,184.47,3551100,182.82,IBM
6/20/2014,182.59,181.4,182.67,10686800,181.55,IBM
6/23/2014,181.92,181,182.25,3231700,182.14,IBM
6/24/2014,181.5,180.65,183,3875400,180.88,IBM
6/25/2014,180.25,180.06,180.97,2762800,180.72,IBM
6/26/2014,180.87,179.27,181.37,3258500,180.37,IBM
6/27/2014,179.77,179.66,182.46,4575500,181.71,IBM
6/30/2014,181.33,180.26,181.93,4223800,181.27,IBM
7/1/2014,181.7,181.7,187.27,6643100,186.35,IBM
7/2/2014,186.34,186.17,188.99,5093000,188.39,IBM
7/3/2014,188.39,187.35,188.806,2422400,188.53,IBM
7/7/2014,187.61,187.44,188.27,2958700,188.04,IBM
7/8/2014,187.65,186.37,188.08,3135100,187.22,IBM
7/9/2014,187.68,186.89,188.9,3309600,188.42,IBM
7/10/2014,186.44,186.21,188.05,3177800,187.7,IBM
7/11/2014,187.73,186.705,188.35,2402500,188,IBM
7/14/2014,188.55,188.53,190.44,4501100,189.86,IBM
7/15/2014,189.54,188.21,190.08,4864700,188.49,IBM
7/16/2014,192.24,190.76,193.36,7812600,192.36,IBM
7/17/2014,192.36,192,195.95,8872300,192.49,IBM
7/18/2014,191.96,190,193.44,8166400,192.5,IBM
7/21/2014,191.3,189.25,191.7,4154400,190.85,IBM
7/22/2014,191.59,191.56,194.72,4853000,194.09,IBM
7/23/2014,194.11,193.57,194.9,3584200,193.63,IBM
7/24/2014,193.95,193.75,195.62,3612700,195.24,IBM
7/25/2014,195.3,193.7901,195.9,3376400,194.4,IBM
7/28/2014,194.3,193.65,196.4,3242400,195.78,IBM
7/29/2014,195.3,194.54,195.89,3264100,194.57,IBM
7/30/2014,195.2,192.9,195.99,3943800,194,IBM
7/31/2014,192.84,191.54,194.29,4207500,191.67,IBM
8/1/2014,190.5,188.86,191.5,5181100,189.15,IBM
8/4/2014,189.35,188.6,189.95,2125900,189.64,IBM
8/5/2014,188.75,186.44,189.196,3307900,187.1,IBM
8/6/2014,185.36,184.44,186.88,3847000,185.97,IBM
8/7/2014,186.64,183.58,186.68,2708600,184.3,IBM
8/8/2014,184.4,183.58,186.67,2781500,186.63,IBM
8/11/2014,187.81,186.28,188.36,2527200,187.47,IBM
8/12/2014,187.45,186.81,188.69,1858600,187.34,IBM
8/13/2014,188,187.37,188.48,1797000,187.95,IBM
8/14/2014,187.57,186.93,188.17,1929500,187.88,IBM
8/15/2014,187.85,186.79,188.88,2814800,187.38,IBM
8/18/2014,188.1,187.76,189.81,2420300,189.36,IBM
8/19/2014,190.04,189.36,190.25,2040100,190.07,IBM
8/20/2014,189.86,189.25,190.39,2177600,190.1,IBM
8/21/2014,190.9,190.5,192.07,2496500,191.23,IBM
8/22/2014,190.77,190.29,191.88,1940300,190.41,IBM
8/25/2014,191.39,190.71,191.81,1723600,191.16,IBM
