date,open,low,high,volume,close,Name,Date,Positve,Negative,Neutral,Total,NeutralPos,NeutralNeg
10/30/2017,35.43,35.02,35.47,23689774,35.15,PFE,10/30/2017,32.45614035,5.701754386,61.84210526,228,32.45614035,8.821575451
10/31/2017,35.05,34.105,35.34,22357046,35.06,PFE,10/31/2017,29.23728814,8.474576271,62.28813559,472,29.23728814,11.14836701
11/1/2017,35.01,34.9,35.73,15568025,35.26,PFE,11/1/2017,18.6440678,5.508474576,75.84745763,236,29.5295991,5.508474576
11/2/2017,35.27,35.0342,35.51,12996856,35.46,PFE,11/2/2017,19.76744186,9.689922481,70.54263566,258,25.34815119,9.689922481
11/3/2017,35.45,35.32,35.56,8877273,35.55,PFE,11/3/2017,24.22680412,3.092783505,72.68041237,194,31.94529016,3.092783505
11/6/2017,35.59,35.12,35.61,10604269,35.32,PFE,11/6/2017,25.88832487,3.045685279,71.06598985,197,31.99238839,3.045685279
11/7/2017,35.3,35.24,35.42,9539774,35.36,PFE,11/7/2017,27.86069652,3.482587065,68.65671642,201,31.55548661,3.482587065
11/9/2017,35.08,34.84,35.25,13271058,35.2,PFE,11/9/2017,26.59574468,4.255319149,69.14893617,188,30.78275452,4.255319149
11/10/2017,35.1,34.795,35.19,13381484,35.18,PFE,11/10/2017,28.37209302,3.255813953,68.37209302,215,31.78225971,3.255813953
11/13/2017,35.22,35.14,35.48,22976528,35.3,PFE,11/13/2017,33.45454545,3.272727273,63.27272727,275,33.45454545,4.961926328
11/14/2017,35.25,35.2201,35.7,14425260,35.38,PFE,11/14/2017,16.92913386,4.330708661,78.74015748,254,30.70736501,4.330708661
11/15/2017,35.28,35.23,35.5,12153318,35.36,PFE,11/15/2017,29.1005291,3.703703704,67.1957672,189,31.33436998,3.703703704
11/16/2017,35.34,35.25,35.58,12661564,35.56,PFE,11/16/2017,30.36437247,4.453441296,65.18218623,247,30.58463237,4.453441296
11/17/2017,35.37,35.17,35.49,14817055,35.37,PFE,11/17/2017,32.52427184,3.398058252,64.0776699,206,32.52427184,4.282314677
