date,open,low,high,volume,close,Name,Date,Positve,Negative,Neutral,Total,NeutralPos,NeutralNeg
11/22/2017,57.42,57.07,57.76,2867358,57.49,TGT,11/22/2017,31.7233809,11.41602634,56.86059276,911,31.97725738,11.41602634
11/24/2017,58.05,55.83,58.13,5891540,55.88,TGT,11/24/2017,27.63295099,14.80709072,57.55995829,959,28.586193,14.80709072
11/27/2017,56.2,55.25,56.39,8233552,55.84,TGT,11/27/2017,31.6262354,12.30907457,56.06469003,1113,31.6262354,12.85110082
11/28/2017,56.02,55.42,56.75,6268446,56.62,TGT,11/28/2017,32.79631761,11.04718067,56.15650173,869,32.79631761,11.49739522
11/29/2017,56.82,56.82,61.78,18402874,61.68,TGT,11/29/2017,32.83464567,11.02362205,56.14173228,1270,32.83464567,11.48860605
11/30/2017,61.65,59.84,63.1,14331528,59.9,TGT,11/30/2017,33.1300813,10.16260163,56.70731707,984,33.23068209,10.16260163
12/1/2017,60,58.901,60.47,8178237,59.51,TGT,12/1/2017,34.95229835,12.05550737,52.99219428,1153,34.95229835,15.67002937
12/4/2017,60.65,60.54,63.03,11458242,62.56,TGT,12/4/2017,32.25806452,9.677419355,58.06451613,837,33.71586437,9.677419355
12/5/2017,62.39,60.45,62.48,8080207,62.2,TGT,12/5/2017,34.74860335,8.156424581,57.09497207,895,35.23685914,8.156424581
12/6/2017,62.1,60.55,62.28,5504091,60.72,TGT,12/6/2017,26.70588235,11.29411765,62,850,32.09916607,11.29411765
12/7/2017,60.88,60.5,61.66,3958053,61.09,TGT,12/7/2017,30.92324805,8.008898776,61.06785317,899,35.38438494,8.008898776
12/8/2017,61.1,60.65,61.83,3564497,61.37,TGT,12/8/2017,30.01172333,8.206330598,61.78194607,853,35.18695311,8.206330598
12/11/2017,61.58,61.15,62.17,3978484,61.76,TGT,12/11/2017,28.01724138,9.051724138,62.93103448,928,34.34155958,9.051724138
12/12/2017,61.76,60.88,61.95,4705714,61.02,TGT,12/12/2017,30.60344828,10.66810345,58.72844828,928,32.72518028,10.66810345
12/13/2017,60.85,60.8,62.83,7869078,62.67,TGT,12/13/2017,33.7,9,57.3,1000,34.39328372,9
12/14/2017,62.94,61.89,63.7,6286952,61.94,TGT,12/14/2017,30.91836735,9.183673469,59.89795918,980,34.20961025,9.183673469
12/15/2017,62.67,62.35,63.2,8047786,62.61,TGT,12/15/2017,26.98019802,8.910891089,64.10891089,808,34.48239263,8.910891089
12/18/2017,63.6,63.35,64.42,6289907,64.08,TGT,12/18/2017,32.35294118,11.89258312,55.7544757,782,32.35294118,12.7448237
12/19/2017,64.33,63.87,64.64,5939111,64.06,TGT,12/19/2017,31.86813187,10.98901099,57.14285714,819,32.40427273,10.98901099
12/20/2017,64.34,64.1744,65.24,8116707,64.48,TGT,12/20/2017,26.98795181,9.036144578,63.97590361,830,34.35713914,9.036144578
12/21/2017,64.77,64.52,65.735,7427601,65.22,TGT,12/21/2017,25.48571429,11.31428571,63.2,875,32.07899801,11.31428571
12/22/2017,65.12,64.67,65.47,3928497,65.39,TGT,12/22/2017,30.89655172,9.379310345,59.72413793,725,34.01397337,9.379310345
